legacy_table,legacy_id,canonical_table,canonical_id,migration_action,duplicate_of,status,reason
resources,1,v06_market_resources,36,ALREADY_MIGRATED,,already_migrated,semantic_owner_direction_match
resources,2,v06_market_resources,37,ALREADY_MIGRATED,,already_migrated,semantic_owner_direction_match
resources,3,v06_market_resources,38,ALREADY_MIGRATED,,already_migrated,semantic_owner_direction_match
resources,4,v06_market_resources,39,ALREADY_MIGRATED,,already_migrated,semantic_owner_direction_match
resources,5,v06_market_resources,40,ALREADY_MIGRATED,,already_migrated,semantic_owner_direction_match
resources,6,v06_market_resources,41,ALREADY_MIGRATED,,already_migrated,semantic_owner_direction_match
resources,7,v06_market_resources,42,ALREADY_MIGRATED,,already_migrated,semantic_owner_direction_match
resources,8,v06_market_resources,43,ALREADY_MIGRATED,,already_migrated,semantic_owner_direction_match
v04f_club_offerings,1,v06_market_resources,44,ALREADY_MIGRATED,,already_migrated,semantic_owner_direction_match
